Tipo;Produto;Ano;Quantidade
su_Suco de uva reconstituído;Suco de uva reconstituído;1972;0
DERIVADOS;DERIVADOS;1972;12314509
de_Espumante;Espumante;1972;0
de_Espumante moscatel;Espumante moscatel;1972;0
de_Base espumante;Base espumante;1972;0
de_Base espumante moscatel;Base espumante moscatel;1972;0
de_Base Champenoise champanha;Base Champenoise champanha;1972;0
de_Base Charmat champanha;Base Charmat champanha;1972;0
de_Bebida de uva;Bebida de uva;1972;0
de_Polpa de uva;Polpa de uva;1972;0
de_Mosto simples;Mosto simples;1972;6051822
de_Mosto concentrado;Mosto concentrado;1972;0
de_Mosto de uva com bagaço;Mosto de uva com bagaço;1972;0
de_Mosto dessulfitado;Mosto dessulfitado;1972;0
de_Mistelas;Mistelas;1972;871200
de_Néctar de uva;Néctar de uva;1972;0
de_Licorosos;Licorosos;1972;254600
de_Compostos;Compostos;1972;1358300
de_Jeropiga;Jeropiga;1972;0
de_Filtrado;Filtrado;1972;0
de_Frisante;Frisante;1972;0
de_Vinho leve;Vinho leve;1972;0
de_Vinho licoroso;Vinho licoroso;1972;0
de_Brandy;Brandy;1972;0
de_Destilado;Destilado;1972;0
de_Bagaceira;Bagaceira;1972;755350
de_Licor de bagaceira;Licor de bagaceira;1972;0
de_Vinagre;Vinagre;1972;8200
de_Borra líquida;Borra líquida;1972;3015037
de_Borra seca;Borra seca;1972;0
de_Vinho Composto;Vinho Composto;1972;0
de_Pisco;Pisco;1972;0
de_Vinho orgânico;Vinho orgânico;1972;0
de_Espumante orgânico;Espumante orgânico;1972;0
de_Destilado alcoólico simples de bagaceira ;Destilado alcoólico simples de bagaceira ;1972;0
de_Vinho acidificado ;Vinho acidificado ;1972;0
de_Mosto parcialmente fermentado ;Mosto parcialmente fermentado ;1972;0
de_Outros derivados;Outros derivados;1972;0
VINHO DE MESA;VINHO DE MESA;1973;116710345
vm_Tinto;Tinto;1973;88589019
vm_Branco;Branco;1973;243900
vm_Rosado;Rosado;1973;27877426
VINHO FINO DE MESA (VINÍFERA);VINHO FINO DE MESA (VINÍFERA);1973;12368410
vv_Tinto;Tinto;1973;3419625
vv_Branco;Branco;1973;7930070
vv_Rosado;Rosado;1973;1018715
SUCO;SUCO;1973;0
su_Suco de uva simples;Suco de uva integral;1973;0
