index;control;cultivar;Tipo;Produto;Ano;Quantidade (Kg)
2027;br_Malvasia Chianti;Malvasia Chianti;Processamento;Uva Vinífera;1979;0
2028;br_Malvasia Verde;Malvasia Verde;Processamento;Uva Vinífera;1979;0
2029;br_Malvasia di Candia;Malvasia di Candia;Processamento;Uva Vinífera;1979;0
2030;br_Malvasia Istriana;Malvasia Istriana;Processamento;Uva Vinífera;1979;0
2031;br_Mistura de uvas viníferas;Mistura de uvas viníferas branco;Processamento;Uva Vinífera;1979;0
2032;br_Mistura de uvas viníferas;Mistura de uvas viníferas rosado;Processamento;Uva Vinífera;1979;0
2033;br_Moscato_branco;Moscato Branco;Processamento;Uva Vinífera;1979;11743280
2034;br_Moscato Canelli;Moscato Canelli;Processamento;Uva Vinífera;1979;0
2035;br_Moscato Giallo;Moscato Giallo;Processamento;Uva Vinífera;1979;0
2036;br_Moscato Nazareno;Moscato Nazareno;Processamento;Uva Vinífera;1979;0
2037;br_Moscato Bianco R2;Moscato Bianco R2;Processamento;Uva Vinífera;1979;0
2038;br_Moscato de Alexandria;Moscato de Alexandria;Processamento;Uva Vinífera;1979;0
2039;br_Moscato Rosado;Moscato Rosado;Processamento;Uva Vinífera;1979;0
2040;br_Muscat a Petits Grains;Muscat à Petits Grains;Processamento;Uva Vinífera;1979;0
2041;br_Muller Thurgau;Muller Thurgau;Processamento;Uva Vinífera;1979;0
2042;br_Muscadelle;Muscadelle;Processamento;Uva Vinífera;1979;0
2043;br_Ora;Ora;Processamento;Uva Vinífera;1979;0
2044;br_Palomino;Palomino;Processamento;Uva Vinífera;1979;2507
2045;br_Petit Manseng;Petit Manseng;Processamento;Uva Vinífera;1979;0
2046;br_Peverella;Peverella;Processamento;Uva Vinífera;1979;1959410
2047;br_Pinot Blanc;Pinot Blanc;Processamento;Uva Vinífera;1979;930
2048;br_Pinot Gris;Pinot Gris;Processamento;Uva Vinífera;1979;0
2049;br_Prosecco;Prosecco;Processamento;Uva Vinífera;1979;0
2050;br_Red Veltliner;Red Veltliner;Processamento;Uva Vinífera;1979;0
2051;br_Riesling Italico;Riesling Italico;Processamento;Uva Vinífera;1979;1886081
2052;br_Riesling Renano;Riesling Renano;Processamento;Uva Vinífera;1979;0
2053;br_Sauvignon Blanc(2);Sauvignon Blanc(2);Processamento;Uva Vinífera;1979;710596
2054;br_Sauvignon Gris;Sauvignon Gris;Processamento;Uva Vinífera;1979;0
2055;br_Seara Nova;Seara Nova;Processamento;Uva Vinífera;1979;0
2056;br_Semillon;Semillon;Processamento;Uva Vinífera;1979;1125402
2057;br_Schonburger;Schonburger;Processamento;Uva Vinífera;1979;0
2058;br_Sylvaner;Sylvaner;Processamento;Uva Vinífera;1979;1774
2059;br_Tocai Friulano;Tocai Friulano;Processamento;Uva Vinífera;1979;0
2060;br_Trebbiano;Trebbiano;Processamento;Uva Vinífera;1979;16868971
2061;br_Trebbiano Toscano;Trebbiano Toscano;Processamento;Uva Vinífera;1979;0
2062;br_Verdea;Verdea;Processamento;Uva Vinífera;1979;182
2063;br_Verdelho;Verdelho;Processamento;Uva Vinífera;1979;0
2064;br_Verdiso;Verdiso;Processamento;Uva Vinífera;1979;0
2065;br_Vermentino;Vermentino;Processamento;Uva Vinífera;1979;3848
2066;br_Vernaccia;Vernaccia;Processamento;Uva Vinífera;1979;252585
2067;br_Viognier;Viognier;Processamento;Uva Vinífera;1979;0
2068;br_Outras(3);Outras(3);Processamento;Uva Vinífera;1979;0
2069;;;Processamento;Uva Vinífera;1979;0
2070;TINTAS;TINTAS;Processamento;Uva Americana;1980;196759139
2071;ti_Bacarina;Bacarina;Processamento;Uva Americana;1980;37404
2072;ti_Bailey;Bailey;Processamento;Uva Americana;1980;0
2073;ti_Bordo;Bordo;Processamento;Uva Americana;1980;16495642
2074;ti_Bourdin (S);Bourdin (S);Processamento;Uva Americana;1980;0
2075;ti_BRSCarmen;BRS Carmen;Processamento;Uva Americana;1980;0
2076;ti_BRSCora;BRS Cora;Processamento;Uva Americana;1980;0
2077;ti_BRS Magna;BRS Magna;Processamento;Uva Americana;1980;0
2078;ti_BRS Margot;BRS Margot;Processamento;Uva Americana;1980;0
2079;ti_BRSMorena;BRS Morena;Processamento;Uva Americana;1980;0
2080;ti_BRS Rúbea;BRS Rúbea;Processamento;Uva Americana;1980;0
2081;ti_BRSVioleta;BRS Violeta;Processamento;Uva Americana;1980;0
2082;ti_BRS Vitória;BRS Vitória;Processamento;Uva Americana;1980;0
2083;ti_Champagnon(Champanheta);Champagnon (Champanheta);Processamento;Uva Americana;1980;0
2084;ti_Coleções;Coleções;Processamento;Uva Americana;1980;0
2085;ti_Concord;Concord;Processamento;Uva Americana;1980;5640991
2086;ti_Concordclone30;Concord clone 30;Processamento;Uva Americana;1980;0
2087;ti_Couderc;Couderc;Processamento;Uva Americana;1980;4431263
2088;ti_Cynthiana(1);Cynthiana(1);Processamento;Uva Americana;1980;285705
2089;ti_Herbemont;Herbemont;Processamento;Uva Americana;1980;31377059
2090;ti_IAC138022;IAC 138022;Processamento;Uva Americana;1980;0
2091;ti_Isabel;Isabel;Processamento;Uva Americana;1980;129236559
2092;ti_IsabelPrecoce;Isabel Precoce;Processamento;Uva Americana;1980;0
2093;ti_Jacquez;Jacquez;Processamento;Uva Americana;1980;422025
2094;ti_Kyoko;Kyoko;Processamento;Uva Americana;1980;0
2095;ti_Landot;Landot;Processamento;Uva Americana;1980;36680
2096;ti_Mistura de uvas americanas tinto;Mistura de uvas americanas tinto;Processamento;Uva Americana;1980;0
2097;ti_Oberlin;Oberlin;Processamento;Uva Americana;1980;1042
2098;ti_Othello;Othello;Processamento;Uva Americana;1980;37273
2099;ti_Paco;Paco;Processamento;Uva Americana;1980;0
2100;ti_Patricia;Patricia;Processamento;Uva Americana;1980;0
2101;ti_Seibel;Seibel;Processamento;Uva Americana;1980;8757496
2102;ti_Seibel2(seibeleto);Seibel 2 (seibeleto);Processamento;Uva Americana;1980;0
2103;ti_SeyveWillard(Tinta);Seyve Willard (Tinta);Processamento;Uva Americana;1980;0
2104;ti_Vênus;Vênus;Processamento;Uva Americana;1980;0
2105;BRANCASEROSADAS;BRANCAS E ROSADAS;Processamento;Uva Americana;1980;4360271
2106;br_Baco;Baco;Processamento;Uva Americana;1980;0
2107;br_Bokay;Bokay;Processamento;Uva Americana;1980;0
2108;br_BRSClara;BRS Clara;Processamento;Uva Americana;1980;0
2109;br_BRSLorena;BRS Lorena;Processamento;Uva Americana;1980;0
2110;br_Couderc13;Couderc 13;Processamento;Uva Americana;1980;0
2111;br_Delaware;Delaware;Processamento;Uva Americana;1980;18249
2112;br_DonaZillá;Dona Zillá;Processamento;Uva Americana;1980;0
2113;br_DutChess;Dut Chess;Processamento;Uva Americana;1980;0
2114;br_Goethe;Goethe;Processamento;Uva Americana;1980;16057
2115;br_IAC;IAC;Processamento;Uva Americana;1980;0
2116;br_Juliana;Juliana;Processamento;Uva Americana;1980;0
2117;br_Martha;Martha;Processamento;Uva Americana;1980;980
2118;br_Mistura de uvas americanas;Mistura de uvas americanas;Processamento;Uva Americana;1980;0
2119;br_MoscatoEmbrapa;Moscato Embrapa;Processamento;Uva Americana;1980;0
2120;br_Niagara;Niagara;Processamento;Uva Americana;1980;4030127
2121;br_NiagaraBranca;Niagara Branca;Processamento;Uva Americana;1980;0
2122;br_NiagaraRosada;Niagara Rosada;Processamento;Uva Americana;1980;0
2123;br_Poloske;Poloske;Processamento;Uva Americana;1980;0
2124;br_Seleções;Seleções;Processamento;Uva Americana;1980;0
2125;br_SeyveVillard;Seyve Villard;Processamento;Uva Americana;1980;294858
2126;br_SeyveVillard5276;Seyve Villard 5276;Processamento;Uva Americana;1980;0
2127;br_SeyveVillard12375;Seyve Villard 12375;Processamento;Uva Americana;1980;0
2128;br_TardiadeCaxias;Tardia de Caxias;Processamento;Uva Americana;1980;0
2129;br_Outras;Outras(2);Processamento;Uva Americana;1980;0
2130;TINTAS;TINTAS;Processamento;Uva de Mesa;1980;68763
2131;ti_ Alphonse Lavallee; Alphonse Lavallee;Processamento;Uva de Mesa;1980;23451
2132;ti_ Moscato de Hamburgo; Moscato de Hamburgo;Processamento;Uva de Mesa;1980;45312
2133;BRANCAS;BRANCAS;Processamento;Uva de Mesa;1980;74744
2134;br_Cardinal; Cardinal;Processamento;Uva de Mesa;1980;2235
2135;br_Golden Queen; Golden Queen;Processamento;Uva de Mesa;1980;2765
2136;br_Patrícia; Patrícia;Processamento;Uva de Mesa;1980;0
2137;br_Perlona; Perlona;Processamento;Uva de Mesa;1980;10722
2138;br_Italia; Italia;Processamento;Uva de Mesa;1980;59022
2139;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);Processamento;Uva de Mesa;1980;0
2140;sc;Sem classificação;Processamento;Uva Sem Classificação;1980;306970
2141;TINTAS;TINTAS;Processamento;Uva Vinífera;1980;17369967
2142;ti_Alicante Bouschet;Alicante Bouschet;Processamento;Uva Vinífera;1980;0
2143;ti_Ancelota;Ancelota;Processamento;Uva Vinífera;1980;0
2144;ti_Aramon;Aramon;Processamento;Uva Vinífera;1980;0
2145;ti_Alfrocheiro;Alfrocheiro;Processamento;Uva Vinífera;1980;0
2146;ti_Arinarnoa;Arinarnoa;Processamento;Uva Vinífera;1980;0
2147;ti_Aspirant Bouschet;Aspirant Bouschet;Processamento;Uva Vinífera;1980;0
2148;ti_Barbera;Barbera;Processamento;Uva Vinífera;1980;6230235
2149;ti_Bonarda;Bonarda;Processamento;Uva Vinífera;1980;1120992
2150;ti_Cabernet Franc;Cabernet Franc;Processamento;Uva Vinífera;1980;5152023
2151;ti_Cabernet Sauvignon;Cabernet Sauvignon;Processamento;Uva Vinífera;1980;0
2152;ti_ Caladoc;Caladoc;Processamento;Uva Vinífera;1980;0
2153;ti_Campanario;Campanario;Processamento;Uva Vinífera;1980;0
2154;ti_Canaiolo;Canaiolo;Processamento;Uva Vinífera;1980;475017
2155;ti_Carignan;Carignan;Processamento;Uva Vinífera;1980;0
2156;ti_Carmenere;Carmenere;Processamento;Uva Vinífera;1980;70779
2157;ti_Castelão;Castelão;Processamento;Uva Vinífera;1980;0
2158;ti_Corvina;Corvina;Processamento;Uva Vinífera;1980;0
2159;ti_Croatina;Croatina;Processamento;Uva Vinífera;1980;0
2160;ti_Cinsaut;Cinsaut;Processamento;Uva Vinífera;1980;0
2161;ti_Dom Felder;Dom Felder;Processamento;Uva Vinífera;1980;0
2162;ti_Dolcetto;Dolcetto;Processamento;Uva Vinífera;1980;0
2163;ti_Durif;Durif;Processamento;Uva Vinífera;1980;0
2164;ti_Freisa;Freisa;Processamento;Uva Vinífera;1980;0
2165;ti_Egiodola;Egiodola;Processamento;Uva Vinífera;1980;0
2166;ti_Ekigaina;Ekigaina;Processamento;Uva Vinífera;1980;0
2167;ti_Festival (Sugraone);Festival (Sugraone);Processamento;Uva Vinífera;1980;0
2168;ti_Franconia;Franconia;Processamento;Uva Vinífera;1980;0
2169;ti_Freisa;Freisa;Processamento;Uva Vinífera;1980;0
2170;ti_Gamay St Romain;Gamay St Romain;Processamento;Uva Vinífera;1980;52878
2171;ti_Gamay Beaujolais;Gamay Beaujolais;Processamento;Uva Vinífera;1980;0
2172;ti_Grand Noir;Grand Noir;Processamento;Uva Vinífera;1980;3012
2173;ti_Grenache;Grenache;Processamento;Uva Vinífera;1980;6268
2174;ti_Jaen;Jaen;Processamento;Uva Vinífera;1980;0
2175;ti_Lagrein;Lagrein;Processamento;Uva Vinífera;1980;0
2176;ti_Lambrusco;Lambrusco;Processamento;Uva Vinífera;1980;3566
2177;ti_Malbec;Malbec;Processamento;Uva Vinífera;1980;0
2178;ti_Marzemina;Marzemina;Processamento;Uva Vinífera;1980;91706
2179;ti_Merlot;Merlot;Processamento;Uva Vinífera;1980;1907623
2180;ti_Marselan;Marselan;Processamento;Uva Vinífera;1980;0
2181;ti_Molinera;Molinera;Processamento;Uva Vinífera;1980;0
2182;ti_Montepulciano;Montepulciano;Processamento;Uva Vinífera;1980;0
2183;ti_Moscato Bailey;Moscato Bailey;Processamento;Uva Vinífera;1980;0
2184;ti_Napa Gamay;Napa Gamay;Processamento;Uva Vinífera;1980;0
2185;ti_Nebbiolo;Nebbiolo;Processamento;Uva Vinífera;1980;1400
2186;ti_Petit Verdot;Petit Verdot;Processamento;Uva Vinífera;1980;0
2187;ti_Petite Sirah;Petite Sirah;Processamento;Uva Vinífera;1980;0
2188;ti_Pinotage;Pinotage;Processamento;Uva Vinífera;1980;0
2189;ti_Pinot Noir;Pinot Noir;Processamento;Uva Vinífera;1980;20601
2190;ti_Pinot Saint George;Pinot Saint George;Processamento;Uva Vinífera;1980;0
2191;ti_Piriquita;Piriquita;Processamento;Uva Vinífera;1980;0
2192;ti_Rebo;Rebo;Processamento;Uva Vinífera;1980;0
2193;ti_Refosco;Refosco;Processamento;Uva Vinífera;1980;0
2194;ti_Rondinella;Rondinella;Processamento;Uva Vinífera;1980;0
2195;ti_Ruby Cabernet;Ruby Cabernet;Processamento;Uva Vinífera;1980;0
2196;ti_Sangiovese;Sangiovese;Processamento;Uva Vinífera;1980;166706
2197;ti_Sira (falsa);Sira (falsa);Processamento;Uva Vinífera;1980;2067161
2198;ti_Tannat;Tannat;Processamento;Uva Vinífera;1980;0
2199;ti_Tempranillo;Tempranillo;Processamento;Uva Vinífera;1980;0
2200;ti_Teroldego;Teroldego;Processamento;Uva Vinífera;1980;0
2201;ti_Torrontes;Torrontes;Processamento;Uva Vinífera;1980;0
2202;ti_Tinta Barroca;Tinta Barroca;Processamento;Uva Vinífera;1980;0
2203;ti_Touriga Francesa;Touriga Francesa;Processamento;Uva Vinífera;1980;0
2204;ti_Touriga Nacional;Touriga Nacional;Processamento;Uva Vinífera;1980;0
2205;ti_Tinta Madeira;Tinta Madeira;Processamento;Uva Vinífera;1980;0
2206;ti_Tintoria;Tintoria;Processamento;Uva Vinífera;1980;0
2207;ti_Trincdeira;Trincdeira;Processamento;Uva Vinífera;1980;0
2208;ti_Trousseau;Trousseau;Processamento;Uva Vinífera;1980;0
2209;ti_Zinfandel;Zinfandel;Processamento;Uva Vinífera;1980;0
2210;ti_Outras1;Outras1;Processamento;Uva Vinífera;1980;0
2211;BRANCASEROSADAS;BRANCAS E ROSADAS;Processamento;Uva Vinífera;1980;28354293
2212;br_Aliatico;Aliatico;Processamento;Uva Vinífera;1980;0
2213;br_Aligote;Aligote;Processamento;Uva Vinífera;1980;0
2214;br_Altesse;Altesse;Processamento;Uva Vinífera;1980;550
2215;br_Alvarinho;Alvarinho;Processamento;Uva Vinífera;1980;0
2216;br_Arriloba;Arriloba;Processamento;Uva Vinífera;1980;0
2217;br_Auxerrois;Auxerrois;Processamento;Uva Vinífera;1980;0
2218;br_Burger;Burger;Processamento;Uva Vinífera;1980;0
2219;br_Chardonnay;Chardonnay;Processamento;Uva Vinífera;1980;0
2220;br_Chasselas;Chasselas;Processamento;Uva Vinífera;1980;1524
2221;br_Chenin Blanc;Chenin Blanc;Processamento;Uva Vinífera;1980;0
2222;br_Clairette(1);Clairette(1);Processamento;Uva Vinífera;1980;29871
2223;br_Colombard;Colombard;Processamento;Uva Vinífera;1980;0
2224;br_Flora;Flora;Processamento;Uva Vinífera;1980;0
2225;br_Garganega;Garganega;Processamento;Uva Vinífera;1980;0
2226;br_Gewurztraminer;Gewurztraminer;Processamento;Uva Vinífera;1980;0
2227;br_Gouveio;Gouveio;Processamento;Uva Vinífera;1980;0
2228;br_Gros Manseng;Gros Manseng;Processamento;Uva Vinífera;1980;0
2229;br_Italia (Pirovano 65) (PE);Italia (Pirovano 65) (PE);Processamento;Uva Vinífera;1980;0
2230;br_Maccabeo;Maccabeo;Processamento;Uva Vinífera;1980;0
2231;br_Malvasia;Malvasia;Processamento;Uva Vinífera;1980;2115375
2232;br_Malvasia Amarela;Malvasia Amarela;Processamento;Uva Vinífera;1980;0
2233;br_Malvasia Bianca;Malvasia Bianca;Processamento;Uva Vinífera;1980;0
2234;br_Malvasia Chianti;Malvasia Chianti;Processamento;Uva Vinífera;1980;0
2235;br_Malvasia Verde;Malvasia Verde;Processamento;Uva Vinífera;1980;0
2236;br_Malvasia di Candia;Malvasia di Candia;Processamento;Uva Vinífera;1980;0
2237;br_Malvasia Istriana;Malvasia Istriana;Processamento;Uva Vinífera;1980;0
2238;br_Mistura de uvas viníferas;Mistura de uvas viníferas branco;Processamento;Uva Vinífera;1980;0
2239;br_Mistura de uvas viníferas;Mistura de uvas viníferas rosado;Processamento;Uva Vinífera;1980;0
2240;br_Moscato_branco;Moscato Branco;Processamento;Uva Vinífera;1980;7650069
2241;br_Moscato Canelli;Moscato Canelli;Processamento;Uva Vinífera;1980;0
2242;br_Moscato Giallo;Moscato Giallo;Processamento;Uva Vinífera;1980;0
2243;br_Moscato Nazareno;Moscato Nazareno;Processamento;Uva Vinífera;1980;0
2244;br_Moscato Bianco R2;Moscato Bianco R2;Processamento;Uva Vinífera;1980;0
2245;br_Moscato de Alexandria;Moscato de Alexandria;Processamento;Uva Vinífera;1980;0
2246;br_Moscato Rosado;Moscato Rosado;Processamento;Uva Vinífera;1980;0
2247;br_Muscat a Petits Grains;Muscat à Petits Grains;Processamento;Uva Vinífera;1980;0
2248;br_Muller Thurgau;Muller Thurgau;Processamento;Uva Vinífera;1980;0
2249;br_Muscadelle;Muscadelle;Processamento;Uva Vinífera;1980;0
2250;br_Ora;Ora;Processamento;Uva Vinífera;1980;0
2251;br_Palomino;Palomino;Processamento;Uva Vinífera;1980;3917
2252;br_Petit Manseng;Petit Manseng;Processamento;Uva Vinífera;1980;0
2253;br_Peverella;Peverella;Processamento;Uva Vinífera;1980;1047031
2254;br_Pinot Blanc;Pinot Blanc;Processamento;Uva Vinífera;1980;900
2255;br_Pinot Gris;Pinot Gris;Processamento;Uva Vinífera;1980;0
2256;br_Prosecco;Prosecco;Processamento;Uva Vinífera;1980;0
2257;br_Red Veltliner;Red Veltliner;Processamento;Uva Vinífera;1980;0
2258;br_Riesling Italico;Riesling Italico;Processamento;Uva Vinífera;1980;2360144
2259;br_Riesling Renano;Riesling Renano;Processamento;Uva Vinífera;1980;0
2260;br_Sauvignon Blanc(2);Sauvignon Blanc(2);Processamento;Uva Vinífera;1980;677739
2261;br_Sauvignon Gris;Sauvignon Gris;Processamento;Uva Vinífera;1980;0
2262;br_Seara Nova;Seara Nova;Processamento;Uva Vinífera;1980;0
2263;br_Semillon;Semillon;Processamento;Uva Vinífera;1980;1150235
2264;br_Schonburger;Schonburger;Processamento;Uva Vinífera;1980;0
2265;br_Sylvaner;Sylvaner;Processamento;Uva Vinífera;1980;5468
2266;br_Tocai Friulano;Tocai Friulano;Processamento;Uva Vinífera;1980;0
2267;br_Trebbiano;Trebbiano;Processamento;Uva Vinífera;1980;13100126
2268;br_Trebbiano Toscano;Trebbiano Toscano;Processamento;Uva Vinífera;1980;0
2269;br_Verdea;Verdea;Processamento;Uva Vinífera;1980;0
2270;br_Verdelho;Verdelho;Processamento;Uva Vinífera;1980;0
2271;br_Verdiso;Verdiso;Processamento;Uva Vinífera;1980;11497
2272;br_Vermentino;Vermentino;Processamento;Uva Vinífera;1980;2446
2273;br_Vernaccia;Vernaccia;Processamento;Uva Vinífera;1980;197401
2274;br_Viognier;Viognier;Processamento;Uva Vinífera;1980;0
2275;br_Outras(3);Outras(3);Processamento;Uva Vinífera;1980;0
2276;;;Processamento;Uva Vinífera;1980;0
2277;TINTAS;TINTAS;Processamento;Uva Americana;1981;290765867
2278;ti_Bacarina;Bacarina;Processamento;Uva Americana;1981;37893
2279;ti_Bailey;Bailey;Processamento;Uva Americana;1981;0
2280;ti_Bordo;Bordo;Processamento;Uva Americana;1981;20525530
2281;ti_Bourdin (S);Bourdin (S);Processamento;Uva Americana;1981;0
2282;ti_BRSCarmen;BRS Carmen;Processamento;Uva Americana;1981;0
2283;ti_BRSCora;BRS Cora;Processamento;Uva Americana;1981;0
2284;ti_BRS Magna;BRS Magna;Processamento;Uva Americana;1981;0
2285;ti_BRS Margot;BRS Margot;Processamento;Uva Americana;1981;0
2286;ti_BRSMorena;BRS Morena;Processamento;Uva Americana;1981;0
2287;ti_BRS Rúbea;BRS Rúbea;Processamento;Uva Americana;1981;0
2288;ti_BRSVioleta;BRS Violeta;Processamento;Uva Americana;1981;0
2289;ti_BRS Vitória;BRS Vitória;Processamento;Uva Americana;1981;0
2290;ti_Champagnon(Champanheta);Champagnon (Champanheta);Processamento;Uva Americana;1981;0
2291;ti_Coleções;Coleções;Processamento;Uva Americana;1981;0
2292;ti_Concord;Concord;Processamento;Uva Americana;1981;10751352
2293;ti_Concordclone30;Concord clone 30;Processamento;Uva Americana;1981;0
2294;ti_Couderc;Couderc;Processamento;Uva Americana;1981;4779453
2295;ti_Cynthiana(1);Cynthiana(1);Processamento;Uva Americana;1981;388118
2296;ti_Herbemont;Herbemont;Processamento;Uva Americana;1981;48717399
2297;ti_IAC138022;IAC 138022;Processamento;Uva Americana;1981;0
2298;ti_Isabel;Isabel;Processamento;Uva Americana;1981;191757135
2299;ti_IsabelPrecoce;Isabel Precoce;Processamento;Uva Americana;1981;0
2300;ti_Jacquez;Jacquez;Processamento;Uva Americana;1981;553100
2301;ti_Kyoko;Kyoko;Processamento;Uva Americana;1981;0
2302;ti_Landot;Landot;Processamento;Uva Americana;1981;38773
2303;ti_Mistura de uvas americanas tinto;Mistura de uvas americanas tinto;Processamento;Uva Americana;1981;0
2304;ti_Oberlin;Oberlin;Processamento;Uva Americana;1981;3428
2305;ti_Othello;Othello;Processamento;Uva Americana;1981;25750
2306;ti_Paco;Paco;Processamento;Uva Americana;1981;0
2307;ti_Patricia;Patricia;Processamento;Uva Americana;1981;0
2308;ti_Seibel;Seibel;Processamento;Uva Americana;1981;13187936
2309;ti_Seibel2(seibeleto);Seibel 2 (seibeleto);Processamento;Uva Americana;1981;0
2310;ti_SeyveWillard(Tinta);Seyve Willard (Tinta);Processamento;Uva Americana;1981;0
2311;ti_Vênus;Vênus;Processamento;Uva Americana;1981;0
2312;BRANCASEROSADAS;BRANCAS E ROSADAS;Processamento;Uva Americana;1981;7412211
2313;br_Baco;Baco;Processamento;Uva Americana;1981;0
2314;br_Bokay;Bokay;Processamento;Uva Americana;1981;0
2315;br_BRSClara;BRS Clara;Processamento;Uva Americana;1981;0
2316;br_BRSLorena;BRS Lorena;Processamento;Uva Americana;1981;0
2317;br_Couderc13;Couderc 13;Processamento;Uva Americana;1981;0
2318;br_Delaware;Delaware;Processamento;Uva Americana;1981;4630
2319;br_DonaZillá;Dona Zillá;Processamento;Uva Americana;1981;0
2320;br_DutChess;Dut Chess;Processamento;Uva Americana;1981;0
2321;br_Goethe;Goethe;Processamento;Uva Americana;1981;72134
2322;br_IAC;IAC;Processamento;Uva Americana;1981;0
2323;br_Juliana;Juliana;Processamento;Uva Americana;1981;0
2324;br_Martha;Martha;Processamento;Uva Americana;1981;1041
2325;br_Mistura de uvas americanas;Mistura de uvas americanas;Processamento;Uva Americana;1981;0
2326;br_MoscatoEmbrapa;Moscato Embrapa;Processamento;Uva Americana;1981;0
2327;br_Niagara;Niagara;Processamento;Uva Americana;1981;6714199
2328;br_NiagaraBranca;Niagara Branca;Processamento;Uva Americana;1981;0
2329;br_NiagaraRosada;Niagara Rosada;Processamento;Uva Americana;1981;0
2330;br_Poloske;Poloske;Processamento;Uva Americana;1981;0
2331;br_Seleções;Seleções;Processamento;Uva Americana;1981;0
2332;br_SeyveVillard;Seyve Villard;Processamento;Uva Americana;1981;620207
2333;br_SeyveVillard5276;Seyve Villard 5276;Processamento;Uva Americana;1981;0
2334;br_SeyveVillard12375;Seyve Villard 12375;Processamento;Uva Americana;1981;0
2335;br_TardiadeCaxias;Tardia de Caxias;Processamento;Uva Americana;1981;0
2336;br_Outras;Outras(2);Processamento;Uva Americana;1981;0
2337;TINTAS;TINTAS;Processamento;Uva de Mesa;1981;55774
2338;ti_ Alphonse Lavallee; Alphonse Lavallee;Processamento;Uva de Mesa;1981;12094
2339;ti_ Moscato de Hamburgo; Moscato de Hamburgo;Processamento;Uva de Mesa;1981;43680
2340;BRANCAS;BRANCAS;Processamento;Uva de Mesa;1981;51316
2341;br_Cardinal; Cardinal;Processamento;Uva de Mesa;1981;0
2342;br_Golden Queen; Golden Queen;Processamento;Uva de Mesa;1981;0
2343;br_Patrícia; Patrícia;Processamento;Uva de Mesa;1981;0
2344;br_Perlona; Perlona;Processamento;Uva de Mesa;1981;14467
2345;br_Italia; Italia;Processamento;Uva de Mesa;1981;36849
2346;br_Rubi (Itália, Itália Ro); Rubi (Itália, Itália Ro);Processamento;Uva de Mesa;1981;0
2347;sc;Sem classificação;Processamento;Uva Sem Classificação;1981;494703
2348;TINTAS;TINTAS;Processamento;Uva Vinífera;1981;27976307
2349;ti_Alicante Bouschet;Alicante Bouschet;Processamento;Uva Vinífera;1981;0
2350;ti_Ancelota;Ancelota;Processamento;Uva Vinífera;1981;0
2351;ti_Aramon;Aramon;Processamento;Uva Vinífera;1981;0
2352;ti_Alfrocheiro;Alfrocheiro;Processamento;Uva Vinífera;1981;0
2353;ti_Arinarnoa;Arinarnoa;Processamento;Uva Vinífera;1981;0
2354;ti_Aspirant Bouschet;Aspirant Bouschet;Processamento;Uva Vinífera;1981;0
2355;ti_Barbera;Barbera;Processamento;Uva Vinífera;1981;9078325
2356;ti_Bonarda;Bonarda;Processamento;Uva Vinífera;1981;2516029
2357;ti_Cabernet Franc;Cabernet Franc;Processamento;Uva Vinífera;1981;8414657
2358;ti_Cabernet Sauvignon;Cabernet Sauvignon;Processamento;Uva Vinífera;1981;0
2359;ti_ Caladoc;Caladoc;Processamento;Uva Vinífera;1981;0
2360;ti_Campanario;Campanario;Processamento;Uva Vinífera;1981;0
2361;ti_Canaiolo;Canaiolo;Processamento;Uva Vinífera;1981;701411
2362;ti_Carignan;Carignan;Processamento;Uva Vinífera;1981;0
2363;ti_Carmenere;Carmenere;Processamento;Uva Vinífera;1981;132650
2364;ti_Castelão;Castelão;Processamento;Uva Vinífera;1981;0
2365;ti_Corvina;Corvina;Processamento;Uva Vinífera;1981;0
2366;ti_Croatina;Croatina;Processamento;Uva Vinífera;1981;0
2367;ti_Cinsaut;Cinsaut;Processamento;Uva Vinífera;1981;4148
2368;ti_Dom Felder;Dom Felder;Processamento;Uva Vinífera;1981;0
2369;ti_Dolcetto;Dolcetto;Processamento;Uva Vinífera;1981;0
2370;ti_Durif;Durif;Processamento;Uva Vinífera;1981;11134
2371;ti_Freisa;Freisa;Processamento;Uva Vinífera;1981;0
2372;ti_Egiodola;Egiodola;Processamento;Uva Vinífera;1981;0
2373;ti_Ekigaina;Ekigaina;Processamento;Uva Vinífera;1981;0
2374;ti_Festival (Sugraone);Festival (Sugraone);Processamento;Uva Vinífera;1981;0
2375;ti_Franconia;Franconia;Processamento;Uva Vinífera;1981;0
2376;ti_Freisa;Freisa;Processamento;Uva Vinífera;1981;0
2377;ti_Gamay St Romain;Gamay St Romain;Processamento;Uva Vinífera;1981;167142
2378;ti_Gamay Beaujolais;Gamay Beaujolais;Processamento;Uva Vinífera;1981;0
2379;ti_Grand Noir;Grand Noir;Processamento;Uva Vinífera;1981;0
2380;ti_Grenache;Grenache;Processamento;Uva Vinífera;1981;12138
2381;ti_Jaen;Jaen;Processamento;Uva Vinífera;1981;0
2382;ti_Lagrein;Lagrein;Processamento;Uva Vinífera;1981;0
2383;ti_Lambrusco;Lambrusco;Processamento;Uva Vinífera;1981;13886
2384;ti_Malbec;Malbec;Processamento;Uva Vinífera;1981;12745
2385;ti_Marzemina;Marzemina;Processamento;Uva Vinífera;1981;108290
2386;ti_Merlot;Merlot;Processamento;Uva Vinífera;1981;4618249
